stimulus1_origWidth,stimulus1_src,stimulus1_positionName,stimulus1_positionCoords,stimulus1_widthPercent,stimulus1_id,stimulus1_width,stimulus1_rescaleHeight,stimulus1_trialN,stimulus1_key,stimulus1_origHeight,stimulus1_loaded,stimulus1_height,stimulus1_imgObject,stimulus1_loadedTime
576,/static/stim/Jollyranchergreen.bmp,CENTER,"[146.5, 135.5]",0.8,Jollyranchergreen,576,True,0,None,432,True,432,{},603.115
576,/static/stim/Almondjoy.bmp,CENTER,"[146.5, 135.5]",0.8,Almondjoy,576,True,1,None,432,True,432,{},5545.875
576,/static/stim/Hersheykisses.bmp,CENTER,"[146.5, 135.5]",0.8,Hersheykisses,576,True,2,None,432,True,432,{},6085.845
576,/static/stim/FigNewton_small.bmp,CENTER,"[146.5, 135.5]",0.8,FigNewton_small,576,True,3,None,432,True,432,{},6514.065
576,/static/stim/FamousAmos_small.bmp,CENTER,"[146.5, 135.5]",0.8,FamousAmos_small,576,True,4,None,432,True,432,{},6943.81
576,/static/stim/Milkduds.bmp,CENTER,"[146.5, 135.5]",0.8,Milkduds,576,True,5,None,432,True,432,{},7460.605
576,/static/stim/Riprolls.bmp,CENTER,"[146.5, 135.5]",0.8,Riprolls,576,True,6,None,432,True,432,{},7928.565
576,/static/stim/Chocolate_mm.bmp,CENTER,"[146.5, 135.5]",0.8,Chocolate_mm,576,True,7,None,432,True,432,{},8395.525
576,/static/stim/Skittles.bmp,CENTER,"[146.5, 135.5]",0.8,Skittles,576,True,8,None,432,True,432,{},8890.195
576,/static/stim/Snickers.bmp,CENTER,"[146.5, 135.5]",0.8,Snickers,576,True,9,None,432,True,432,{},9652.085
576,/static/stim/MilkyWay.bmp,CENTER,"[146.5, 135.5]",0.8,MilkyWay,576,True,10,None,432,True,432,{},10283.595
576,/static/stim/Slimjim.bmp,CENTER,"[146.5, 135.5]",0.8,Slimjim,576,True,11,None,432,True,432,{},10750.17
576,/static/stim/Goldfish.bmp,CENTER,"[146.5, 135.5]",0.8,Goldfish,576,True,12,None,432,True,432,{},11170.77
576,/static/stim/Cheese_PeanutButterCrackers.bmp,CENTER,"[146.5, 135.5]",0.8,Cheese_PeanutButterCrackers,576,True,13,None,432,True,432,{},11557.035
576,/static/stim/3Musketeers.bmp,CENTER,"[146.5, 135.5]",0.8,3Musketeers,576,True,14,None,432,True,432,{},11947.895
576,/static/stim/Granolabar.bmp,CENTER,"[146.5, 135.5]",0.8,Granolabar,576,True,15,None,432,True,432,{},12317.745
576,/static/stim/100grand_small.bmp,CENTER,"[146.5, 135.5]",0.8,100grand_small,576,True,16,None,432,True,432,{},12666.54
576,/static/stim/PringlesRed.bmp,CENTER,"[146.5, 135.5]",0.8,PringlesRed,576,True,17,None,432,True,432,{},13037.35
576,/static/stim/Ghiradelli_milk.bmp,CENTER,"[146.5, 135.5]",0.8,Ghiradelli_milk,576,True,18,None,432,True,432,{},13472.935
576,/static/stim/BabyRuth.bmp,CENTER,"[146.5, 135.5]",0.8,BabyRuth,576,True,19,None,432,True,432,{},13868.8
576,/static/stim/Twix.bmp,CENTER,"[146.5, 135.5]",0.8,Twix,576,True,20,None,432,True,432,{},14320.375
576,/static/stim/ChipsAhoy_small.bmp,CENTER,"[146.5, 135.5]",0.8,ChipsAhoy_small,576,True,21,None,432,True,432,{},14709.855
576,/static/stim/Toberlorone.bmp,CENTER,"[146.5, 135.5]",0.8,Toberlorone,576,True,22,None,432,True,432,{},15113.055
576,/static/stim/Milano.bmp,CENTER,"[146.5, 135.5]",0.8,Milano,576,True,23,None,432,True,432,{},15483.755
576,/static/stim/Keeblerfudgestripes.bmp,CENTER,"[146.5, 135.5]",0.8,Keeblerfudgestripes,576,True,24,None,432,True,432,{},16082.125
576,/static/stim/Sourpatch.bmp,CENTER,"[146.5, 135.5]",0.8,Sourpatch,576,True,25,None,432,True,432,{},17706.78
576,/static/stim/PayDay.bmp,CENTER,"[146.5, 135.5]",0.8,PayDay,576,True,26,None,432,True,432,{},18061.26
576,/static/stim/Crunch.bmp,CENTER,"[146.5, 135.5]",0.8,Crunch,576,True,27,None,432,True,432,{},19966.99
576,/static/stim/TeddyGrahamschocolate.bmp,CENTER,"[146.5, 135.5]",0.8,TeddyGrahamschocolate,576,True,28,None,432,True,432,{},20355.725
576,/static/stim/PeanutMMs.bmp,CENTER,"[146.5, 135.5]",0.8,PeanutMMs,576,True,29,None,432,True,432,{},20808.495
576,/static/stim/Funyuns_small.bmp,CENTER,"[146.5, 135.5]",0.8,Funyuns_small,576,True,30,None,432,True,432,{},21143.825
576,/static/stim/WheatThins.bmp,CENTER,"[146.5, 135.5]",0.8,WheatThins,576,True,31,None,432,True,432,{},22582.36
576,/static/stim/RiceKrispyTreat_small.bmp,CENTER,"[146.5, 135.5]",0.8,RiceKrispyTreat_small,576,True,32,None,432,True,432,{},23933.33
576,/static/stim/Lollipopred.bmp,CENTER,"[146.5, 135.5]",0.8,Lollipopred,576,True,33,None,432,True,432,{},25435.1
576,/static/stim/Oreos.bmp,CENTER,"[146.5, 135.5]",0.8,Oreos,576,True,34,None,432,True,432,{},26244.165
576,/static/stim/Dots_one.bmp,CENTER,"[146.5, 135.5]",0.8,Dots_one,576,True,35,None,432,True,432,{},27016.93
576,/static/stim/RitzBitz2.bmp,CENTER,"[146.5, 135.5]",0.8,RitzBitz2,576,True,36,None,432,True,432,{},35388.28
576,/static/stim/Cheetos.bmp,CENTER,"[146.5, 135.5]",0.8,Cheetos,576,True,37,None,432,True,432,{},35808.13
576,/static/stim/Laysclassic.bmp,CENTER,"[146.5, 135.5]",0.8,Laysclassic,576,True,38,None,432,True,432,{},36227.755
576,/static/stim/Doritosranch.bmp,CENTER,"[146.5, 135.5]",0.8,Doritosranch,576,True,39,None,432,True,432,{},36783.395
576,/static/stim/Hersheymilk_several.bmp,CENTER,"[146.5, 135.5]",0.8,Hersheymilk_several,576,True,40,None,432,True,432,{},37108.12
576,/static/stim/SourSkittles.bmp,CENTER,"[146.5, 135.5]",0.8,SourSkittles,576,True,41,None,432,True,432,{},38835.09
576,/static/stim/Cheezits.bmp,CENTER,"[146.5, 135.5]",0.8,Cheezits,576,True,42,None,432,True,432,{},39209.895
576,/static/stim/AnimalCrackers.bmp,CENTER,"[146.5, 135.5]",0.8,AnimalCrackers,576,True,43,None,432,True,432,{},39644.72
576,/static/stim/CheesyDoritos.bmp,CENTER,"[146.5, 135.5]",0.8,CheesyDoritos,576,True,44,None,432,True,432,{},40512.385
576,/static/stim/MrGoodbar.bmp,CENTER,"[146.5, 135.5]",0.8,MrGoodbar,576,True,45,None,432,True,432,{},40914.22
576,/static/stim/KitKat_small.bmp,CENTER,"[146.5, 135.5]",0.8,KitKat_small,576,True,46,None,432,True,432,{},41425.605
576,/static/stim/starburst.bmp,CENTER,"[146.5, 135.5]",0.8,starburst,576,True,47,None,432,True,432,{},41932.97
576,/static/stim/Nutterbutter.bmp,CENTER,"[146.5, 135.5]",0.8,Nutterbutter,576,True,48,None,432,True,432,{},42564.255
576,/static/stim/MrsFields.bmp,CENTER,"[146.5, 135.5]",0.8,MrsFields,576,True,49,None,432,True,432,{},43014.87
576,/static/stim/TootsieRolls.bmp,CENTER,"[146.5, 135.5]",0.8,TootsieRolls,576,True,50,None,432,True,432,{},43396.25
576,/static/stim/Butterfinger.bmp,CENTER,"[146.5, 135.5]",0.8,Butterfinger,576,True,51,None,432,True,432,{},43882.99
576,/static/stim/Ruffles.bmp,CENTER,"[146.5, 135.5]",0.8,Ruffles,576,True,52,None,432,True,432,{},44284.205
576,/static/stim/PopTartsStrawberry.bmp,CENTER,"[146.5, 135.5]",0.8,PopTartsStrawberry,576,True,53,None,432,True,432,{},44739.99
576,/static/stim/Fritos.bmp,CENTER,"[146.5, 135.5]",0.8,Fritos,576,True,54,None,432,True,432,{},45116.07
576,/static/stim/Laffytaffyred_one.bmp,CENTER,"[146.5, 135.5]",0.8,Laffytaffyred_one,576,True,55,None,432,True,432,{},45573.35
576,/static/stim/Whatchamacallit.bmp,CENTER,"[146.5, 135.5]",0.8,Whatchamacallit,576,True,56,None,432,True,432,{},46036.4
576,/static/stim/FlamingCheetos.bmp,CENTER,"[146.5, 135.5]",0.8,FlamingCheetos,576,True,57,None,432,True,432,{},46432.125
576,/static/stim/Ghiradelli_milk_Almonds.bmp,CENTER,"[146.5, 135.5]",0.8,Ghiradelli_milk_Almonds,576,True,58,None,432,True,432,{},46777.225
576,/static/stim/Reeses.bmp,CENTER,"[146.5, 135.5]",0.8,Reeses,576,True,59,None,432,True,432,{},47157.57
